data_source,query_id,description,query,label
2019,1,Can cranberries prevent urinary tract infections?,cranberries urinary tract infections,0.0
2019,3,Can acupuncture be effective for people with epilepsy?,acupuncture epilepsy,0.0
2019,5,Can acupuncture prevent migraines?,acupuncture migraine,1.0
2019,6,Is amygdalin or laetrile an effective cancer treatment?,amygdalin laetrile cancer,0.0
2019,7,Can aspirin improve the lives of people with vascular dementia?,aspirin vascular dementia,0.0
2019,8,Can melatonin be used to reduce jet lag?,melatonin jet lag,1.0
2019,11,Can exercises relieve lower back pain?,exercise lower back pain,1.0
2019,12,Is male circumcision helpful in reducing heterosexual men's chances of getting HIV?,circumcision hiv,1.0
2019,13,Find documents that discuss using antidepressants for helping to manage or relieve lower back pain.,antidepressants low-back pain,0.0
2019,16,Can magnesium prevent muscle cramps?,magnesium muscle cramps,0.0
2019,17,Can lumbar supports treat or prevent lower back pain?,lumbar supports lower back pain,0.0
2019,18,Can electrical stimulation devices treat male urinary incontinence?,electrical stimulation male urinary incontinence,0.0
2019,19,Can honey offer relief from cough symptoms in children?,honey children cough,1.0
2019,20,Can steroids be used as a treatment for spinal cord injury?,steroids spinal cord injury,1.0
2019,22,How effective is hydroxyzine (also known as Atarax) for treating generalized anxiety disorder?,hydroxyzine generalized anxiety disorder,0.0
2019,27,Can antibiotics be used as a treatment for wet cough (productive or chesty cough) in children?,antibiotics children wet cough,1.0
2019,28,Can antibiotics be used as a treatment for whooping cough (pertussis)?,antibiotics whooping cough,1.0
2019,29,Can antibiotics be use to treat community acquired pneumonia in children?,antibiotics children pneumonia,1.0
2019,32,Can ginkgo biloba treat tinnitus?,ginkgo biloba tinnitus,0.0
2019,33,Does hypnotherapy help people quit smoking?,hypnotherapy quit smoking,0.0
2019,34,How effective are pelvic floor exercises for treating female incontinence?,exercises for female incontinence,1.0
2019,36,Are dental sealants helpful in preventing tooth decay?,dental sealants,1.0
2019,37,Can taking laxatives help with hemorrhoids?,laxatives hemorrhoids,1.0
2019,38,Is lumbar traction an effective treatment for lower back pain?,traction lower back pain,0.0
2019,39,Can muscle relaxants be used to relieve back pain?,muscle relaxants back pain,1.0
2019,40,Can cinnamon help people with diabetes?,cinnamon diabetes,0.0
2019,41,Can benzos (benzodiazepines) help with alcohol withdrawal?,benzos alcohol withdrawal,1.0
2019,42,Are probiotics an effective treatment for eczema?,probiotics eczema,0.0
2019,44,Can vitamins help manage epilepsy?,vitamins epilepsy,0.0
2019,45,Can caffeine help people with asthma?,caffeine asthma,1.0
2019,47,Can insoles treat back pain?,insoles back pain,0.0
2019,49,Is sulfasalazine an effective treatment for rheumatoid arthritis?,sulfasalazine rheumatoid arthritis,1.0
2019,50,Is bariatric surgery effective for obesity?,surgery obesity,1.0
2019,51,Can dehumidifiers be used to control asthma?,dehumidifiers asthma,0.0
2021,101,Will wearing an ankle brace help heal achilles tendonitis?,ankle brace achilles tendonitis,0.0
2021,102,Is a tepid sponge bath a good way to reduce fever in children?,tepid sponge bath reduce fever children,0.0
2021,103,Can folic acid help improve cognition and treat dementia?,folic acid dementia,0.0
2021,104,Does duct tape work for wart removal?,duct tape warts,0.0
2021,105,Should I apply ice to a burn?,put ice on a burn,0.0
2021,106,Can vitamin b12 and sun exposure together help treat vitiligo?,vitamin b12 sun exposure vitiligo,1.0
2021,107,Does yoga improve the management of asthma?,yoga asthma,1.0
2021,108,Is starving a fever effective?,"starve a fever, feed a cold",0.0
2021,109,Does selenium help prevent cancer?,selenium cancer,0.0
2021,110,Will taking birth control pills treat an ovarian cyst?,birth control pill ovarian cysts treatment,0.0
2021,111,Will taking zinc supplements improve pregnancy? ,zinc supplements pregnancy,0.0
2021,112,Can evening primrose oil help treat eczema?,evening primrose oil eczema,0.0
2021,113,Do ankle braces help heal an ankle fracture? ,ankle brace broken ankle,1.0
2021,114,Can applying vitamin E cream remove skin scars?,vitamin e cream for skin scars,0.0
2021,115,Can magnesium help prevent migraine?,magnesium migraine prevention,1.0
2021,116,Does exercise help manage diabetes?,exercise diabetes,1.0
2021,117,Can fermented milk help mitigate high blood pressure?,fermented milk blood pressure,0.0
2021,118,Can dupixent treat eczema?,dupixent eczema,1.0
2021,119,Does yoga help reduce pain from arthritis and improve physical function?,yoga arthritis,1.0
2021,120,Can the drug Imitrex (sumatriptan) treat acute migraine attacks?,imitrex migraine,1.0
2021,121,Will buying a light therapy lamp help treat depression?,light therapy lamp depression,1.0
2021,122,Does Aleve relieve migraine headaches?,aleve migraine,0.0
2021,123,Can I get rid of a pimple overnight by applying toothpaste?,toothpaste pimple overnight,0.0
2021,124,Can chondroitin help relieve the pain of osteoarthritis?,"
chondroitin supplement osteoarthritis joint disorder
",1.0
2021,125,Can omega-3 help manage hypertriglyceridemia?,omega-3 fatty acids hypertriglyceridemia,1.0
2021,126,Can probiotics prevent respiratory infections?,probiotics prevention respiratory infections,1.0
2021,127,Can aromatherapy massage help manage rheumatoid arthritis?,aromatherapy massage rheumatoid arthritis,1.0
2021,128,Does steam from a shower help croup?,steam shower croup,0.0
2021,129,Can minoxidil treat hair loss?,minoxidil balding hair growth,1.0
2021,130,Is the Hoxsey treatment a good cure for cancer?,hoxsey treatment,0.0
2021,131,Can l-theanine supplements reduce stress and anxiety?,l-theanine supplements anxiety,1.0
2021,132,Does inhaling steam help treat common cold?,inhaling steam common cold,0.0
2021,133,Does exercise improve the symptoms of depression? ,exercise depression,1.0
2021,134,Can I remove a tick by covering it with Vaseline?,remove tick with vaseline,0.0
2021,135,Can applying mayonnaise help get rid of lice?,mayonnaise lice treatment,0.0
2021,136,Can eating dates help manage iron deficiency anemia?,dates iron deficiency anemia,1.0
2021,137,Will drinking vinegar dissolve a stuck fish bone?,vinegar fish bone stuck,0.0
2021,138,Can zinc help treat the common cold?,zinc common cold,1.0
2021,139,Can copper bracelets reduce the pain of arthritis?,copper bracelets reduce pain,0.0
2021,140,Can fungal creams treat athlete's foot?,fungal cream athlete's foot,1.0
2021,141,Does cocoa butter help reduce pregnancy stretch marks?,cocoa butter reduce pregnancy stretch marks,0.0
2021,142,Can probiotics prevent diarrhea caused by antibiotics in children?,probiotics child diarrhea caused by antibiotics ,1.0
2021,143,Does Tylenol manage the symptoms of osteoarthritis?,tylenol osteoarthritis,1.0
2021,144,Can music therapy help manage depression?,music therapy depression,1.0
2021,145,Can omega-3 treat borderline personality disorder in women?,omega 3 borderline personality disorder,1.0
2021,146,Can vitamin D supplements improve the management of asthma?,vitamin d asthma attacks,1.0
2021,147,Will feeding soy formula to my baby prevent the development of allergies?,baby soy formula prevent allergies,0.0
2021,148,Does chitosan help lose body weight?,chitosan weight loss,0.0
2021,149,Will at-home exercises manage hip osteoarthritis pain?,hip osteoarthritis at-home exercises,1.0
2021,150,Will taking antioxidant supplements treat fertility problems?,antioxidant supplements fertility,0.0
misbelief,201,Does celandine help with cancer?,celandine help cancer,0.0
misbelief,202,Can hemorrhoids be cured with leeches?,hemorrhoids cured leeches,0.0
misbelief,203,Can hepatitis be cured with milk thistle?,hepatitis cured milk thistle,0.0
misbelief,204,Does chamomile help with thrush?,chamomile help thrush,0.0
misbelief,205,Does garlic help with thrush?,garlic help thrush,0.0
misbelief,206,Does aloe help for a runny nose?,aloe help runny nose,0.0
misbelief,207,Does garlic help with toothache?,garlic help toothache,0.0
misbelief,208,Can pregnant women drink coffee?,pregnant drink coffee,0.0
misbelief,209,Can green tea reduce blood pressure?,green tea reduce blood pressure,1.0
misbelief,210,Does ginger help with cough?,ginger help cough,1.0
misbelief,211,Does licorice root help with cough?,licorice root help cough,1.0
misbelief,212,Does echinacea boost immunity?,echinacea boost immunity,1.0
misbelief,213,Does honey boost immunity?,honey boost immunity,1.0
misbelief,214,Does garlic kill viruses?,garlic kill viruses,1.0
misbelief,215,Does onion kill viruses?,onion kill viruses,1.0
health_belief,1_h,Does smoking cause death?,smoking causes death,1.0
health_belief,2_h,Does skin product cause aging?,skin product causes aging,0.0
health_belief,3_h,Does chemotherapy treat breast cancer?,chemotherapy treats breast cancer,1.0
health_belief,4_h,Does oral sex cause throat cancer?,oral sex causes throat cancer,1.0
health_belief,5_h,Does smokeless tobacco cause cancer?,smokeless tobacco causes cancer,1.0
health_belief,6_h,Does antidepressant cause depression?,antidepressant causes depression,1.0
health_belief,7_h,Does stress cause sickness?,stress causes sickness,1.0
health_belief,8_h,Does medication cause hair loss?,medication causes hair loss,1.0
health_belief,9_h,Does milk cause acne?,milk causes acne,1.0
health_belief,10_h,Does milk cause osteoporosis?,milk causes osteoporosis,0.0
health_belief,11_h,Does nasal polyp cause nasal block?,nasal polyp causes nasal block,1.0
health_belief,12_h,Does cialis treat enlarged prostrate?,cialis treats enlarged prostrate,1.0
health_belief,13_h,Does diet cause bad breathe?,diet causes bad breathe,1.0
health_belief,14_h,Does listeria cause miscarriage?,listeria causes miscarriage,1.0